A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),U(760),V(810),W(860),K(900),L(940),T(730)
1275.637729937413,802.5492273390254,1982.701394374871,603.8442123149359,955.7564596562706,1141.3142343592826,363.67994690058384,372.8583991416497,1099.7594699403153,195.72720164012557,316.89013287280613,51.01133676924598,69.63821506111375,180.16531780850133,234.66940172468082,70.10874640326222,38.27504952979234,81.54614261524657
2396.7372637911562,1276.9878012317042,2355.106662393388,871.8829141574985,939.9434181701844,1076.1954363119526,479.58152475111865,476.2275427865057,1320.0078060378692,262.70900854936076,334.1423217319731,76.2596353851782,80.81455621079576,209.3047604148301,324.02002836201524,91.10360539584816,51.74463028040472,89.57112136437938
1194.9550791859099,809.6828469137454,2058.740821091771,647.2057693938054,1080.9766257847184,1389.4351864220694,384.2146556683229,401.72141394476523,1130.298696611314,204.35289484635794,275.1333617944932,59.930788757427614,71.5407725610618,163.88839970734512,206.39984426483406,72.4917818795459,40.808648844566136,89.9920052197208
2269.370070098911,1000.816516809412,3197.135704758861,837.0959752006036,1116.9243849984834,1872.2345506820295,451.71634393109304,466.2434077782067,1434.5294506084697,224.61447691884277,356.3427622808198,73.38840908326985,76.1916531866721,250.72751883233218,302.66951364843146,111.07797909990045,51.05624640110179,91.29522533254232
2386.4632726071436,997.8181055849317,2396.152221681624,572.433437604241,911.4237331513319,1166.594783542032,323.5527032927418,310.4243326358672,817.6247474535935,162.2870452264976,168.4306224720161,49.50550907112884,50.562105064187215,143.30166391234343,162.51769895401895,74.44111303039007,34.93096623965518,63.789106873699616
3799.5042333262604,1364.9711296627388,3671.2268107547698,918.8751159205137,1203.8049836122887,1850.194906502758,494.5516273696942,511.4246788659223,1434.951662915052,260.24762713060824,348.99474718422596,78.25466589205237,73.76624507399049,244.09807743154212,303.93812943947637,137.6742951018004,56.75668797403391,88.26788245066086
3502.916186327001,1122.3453145045646,2080.284072842695,690.0460403369219,844.5876807335924,1195.0461048033255,442.346155528405,447.13903526158816,788.059895627528,230.51208852986463,285.62717724640316,59.3291892324984,62.253374164267065,170.6199050454963,308.94999174280014,113.3335438066179,50.03388173552036,75.99228765776427
2474.0373518021747,1000.6749039360755,2564.917873303264,660.5681091275416,908.2456528463033,1275.713716150659,344.513960554944,358.88402972045964,957.3046077938485,199.5740802874884,201.1602008656211,55.58138897862044,51.30290749991172,159.5426328782525,177.69105126211716,83.33102635055381,38.526801078420235,66.82731321251305
1874.2195175450988,985.0467738864608,2244.9128549816637,671.5949488071739,1044.2550377429222,1222.7569147978456,393.72909843625393,397.42140292270716,1149.0007550170335,214.15495043752483,295.62429193356195,59.87775117097129,62.795387334219825,173.19684493486653,228.75938133808774,75.93830781367168,40.61853524333251,82.14000583078966
1895.6364068439643,1124.5317755377405,2616.4935195312332,898.5793581137297,1051.4894276003824,1926.4636362570054,397.6954902367938,401.70174119993857,1191.3574301191773,203.9114434775686,270.65133314450554,63.698450878550055,66.89961932809649,211.5387662433945,239.29705642947545,87.75023204306127,47.67639104818961,73.03216427507665
1230.289116716151,911.8003363499149,2328.632607207426,712.3903459124416,1128.2531389023072,1446.598385567468,363.4743384578945,383.53284656142495,967.1666604110305,224.41413766487545,262.11494307287325,52.46659721132864,68.35076398942883,154.4415013565255,201.800437186777,73.69360247056025,40.59067870750019,89.80586673693051
2028.5545653093557,698.2707078892826,1905.5922335081575,496.7351924323491,647.5921839695521,966.9510372038625,273.5558062554908,300.07305089578574,646.8990192876535,162.20785708320102,143.5724077235676,45.01614343249103,45.852871174115165,117.00338178498771,162.12444283488833,74.24674556684734,35.49729009203027,54.30789874103005
608.4150093774736,443.3827688263292,968.9583150927205,456.0404940322967,673.545521960714,723.9855437288362,402.6737865611799,402.88244310082763,1263.4322038468583,180.72038959875144,202.58940901785004,65.31353684035234,49.449403312065606,143.4183304477644,163.3132792724428,54.156594154392806,35.78406631211039,65.67290617248199
2968.1976331826218,1321.207182125073,2780.3788602062223,952.9454290292938,1113.4913577507575,1904.202395137768,488.16236655296007,495.0336819444341,1498.0954165813657,256.68768066876675,358.08327773518766,74.54861371290485,76.54790287303685,251.16883109169973,305.62587247454735,96.97216144174585,53.407105378302205,86.17567606327216
1722.2012482556318,721.9068540919,2237.784011269174,475.81410150896835,774.9226018454384,1091.8638513514654,282.17667862177353,267.45951331437317,649.7121392913829,145.2897616535073,150.81322716539773,40.53785094400634,40.46559340951818,124.89519855062149,126.31503616234515,68.00685788817314,29.28186013658067,53.46181293524136
2035.3637279541683,706.0767257142201,1936.995786653893,483.5469386329261,658.8360992367589,984.0019663306474,274.86292006955637,298.44159669770454,632.7606942377889,159.34918796147966,141.53527885872606,44.25569082018324,42.373655922211434,120.93142551202543,162.0685140562742,75.29473972744869,34.95044718056876,54.17582439443041
2072.004229885478,1061.6658919675149,2320.8753022430074,720.372399151214,1129.1898882665223,1328.9208913224509,359.6608549988397,374.40807581195935,1184.9373182362153,195.15718836761653,244.37428414271267,53.626477386073205,69.51822291514331,170.28378347043378,198.92719066150073,81.62280616889342,39.157247650703894,81.11275154639596
2879.8467040653136,1025.611106913854,2890.5996520452604,685.2078798086285,902.0805516371977,1418.7366657096604,377.0732606903765,386.4901053167711,1026.3219726762143,183.26635793124925,239.62006527797493,58.20672503287555,53.38903664628713,176.59919692349908,207.0983319638735,86.02062680333583,39.69396771517934,66.88856663209478
1060.0560318395405,643.9113604312333,2072.5531664124987,495.3293572229688,837.769281812131,1095.158966368453,338.4020967343196,357.5858667703082,940.0017262141206,181.42543939223052,229.16886783804304,52.98941333615564,58.79694786824332,165.59409413573198,230.18805254212137,81.7343129102604,36.34014588540465,69.83316567674483
1840.272138739877,1093.7031072161087,2228.427439051489,775.7816352988773,876.6122115284436,1186.8814140284758,427.34095909844484,428.76850059141526,1479.6903430738168,230.08795604025244,336.2982660898251,71.49852865894796,79.13656076783117,221.02811994663122,322.3497619540445,87.24327642698921,49.18248572367198,84.83562534913317
2099.954368486373,1313.406440936017,2719.359602212324,943.3743828441609,1072.097949079463,1830.8996484423906,472.62121231458286,481.9810830301762,1343.236248342183,258.3514387097663,335.263080242451,72.87453929411481,74.787204768892,242.03873490952566,314.48247406177825,97.50974639574434,52.912824340246885,82.66905581754412
1241.566837865399,891.9068877646978,1984.5689413779096,743.499937185984,874.7351021543974,1111.3128798825428,437.69091608389925,425.7483830368419,1048.7393931599058,204.71183402231648,66.30407773757456,61.56059489271654,161.86243024927043,190.3331169890706,84.1542561977005,119.34060594102597,51.017209282129336,54.81659110209611
2049.523196388692,1061.887046727624,2325.4849137211004,738.1636086663664,1126.1844448400325,1301.6592173439494,355.6187041916114,373.0528884911742,1188.5132290682097,194.75962755824594,242.16614355102146,54.47148438104925,64.7917055913013,166.39960955589652,201.29512191435816,80.70565864221686,39.275462431549805,80.99625865145967
1639.6037093710606,766.2175377289116,2696.42089986222,635.3879437670129,931.7328195410705,1428.2475874737572,362.192959166285,378.65112383395154,1020.7318775212051,175.9326794366562,245.18689701658388,51.82961133717903,54.29155064229852,179.23225962766014,198.3964741587278,87.35348381412842,37.156894606664615,68.55675314920057
1930.1117833600697,1145.8907996940006,2632.3806024951105,881.447883627523,1056.2005696397375,1952.4875539036914,390.5461416671784,408.9428854970144,1189.9623267951708,204.4372377847163,266.9874798037273,66.80479553960718,66.77632207914877,205.92718821463367,236.91908441916243,85.42527999514682,47.216497878725065,71.7505784006873
1768.7506375142848,897.1279827885704,2057.9019642441094,680.9467670172447,1008.5359081761104,1237.3267605110286,370.27727986749665,389.1520723086318,902.7608111102807,233.5722984361947,261.95174573696823,51.93414506914632,68.91598174027386,159.85292634988903,211.68187332060165,74.0479076565101,41.246377271717634,85.42337241888691
2117.3707159021433,1323.1318925375288,2732.461971311653,942.8189437542096,1078.7636069117684,1796.6457385820938,476.16012025976926,481.88388829905546,1333.6890089107246,249.1200420464989,336.0500592664826,71.57746374274869,79.8855316360358,245.03527893999467,314.5312186712997,100.36300037257216,53.00693910284145,84.43587750278579
2295.6959365628213,1041.2142247576087,2207.413457219591,719.1797793255065,828.23843388357,1416.0602431299924,329.2988164239694,328.3933058676967,1202.874728614323,164.935635286266,293.68551636110976,54.378628857291844,70.93321816703188,234.206526707921,278.3767532000819,58.943227783052244,38.13740820254154,76.27875420379257
2547.658042158893,1199.8205572574284,3017.232989324525,884.1389293021005,1094.7948957400483,2071.8576178931457,478.978584238297,490.72278734816706,1427.472530234998,255.36353399103888,343.7498885838449,73.41434826084844,80.17772914486426,250.08743132534678,299.3500150768719,108.0417125068173,52.907885913361845,83.98104958088852
1841.1608455501073,969.4456519157939,2263.7007017611863,665.3519626692462,1049.5591859181056,1248.20252200832,399.7799010484302,400.2894782945744,1157.573683325268,208.38254333976073,290.99330527078826,61.08649097606487,63.181743282675896,177.84086061623432,231.5794988802202,76.48183488212274,40.31726211965576,82.52693987072587
2227.222509584611,832.8882031037748,2377.0197247409565,576.8431717821285,913.5106646484631,1278.1327149922513,364.3308128333118,367.1205113351741,951.8874546912975,212.45889308005417,252.74910657864928,54.98702655932145,56.68092128869604,170.6745736001051,203.6576488141862,88.80771207791756,38.45254052390222,69.05240244982541
2421.0773143831157,1125.1920561552718,3259.709787508088,885.0158967660524,1124.8500661869905,1977.7538479268746,467.0686745321663,472.616639625483,1470.92529964721,249.0192169142473,368.59786366712945,71.50368285600565,80.84289126037834,254.12982700661783,314.714639180892,108.199946963724,50.650012168559485,85.75705202810722
1199.0354943908462,819.4420674055766,2097.7174862546062,661.3435666160105,1076.5766948661123,1359.3415775600167,393.9735165347708,402.69671368630117,1134.201282526478,192.69407436855468,268.7756421378561,55.96953237136313,67.52873225492316,164.38989921505328,205.85565849105984,72.89000767575658,40.41838842983606,86.86245248963895
2738.4533019285527,829.2337397002956,2410.915585549592,574.0088958260325,903.6668027398941,1320.6169097153836,358.75455741661995,385.7458604572923,866.1277055177492,200.48020608304836,199.49375121750933,56.490261543941514,56.126823028722036,167.04463285655615,213.4727946544407,88.36353158315544,39.67208366108276,75.46918867768144
2362.810266867133,793.3697314193212,2219.957891051377,216.1694524886774,790.31933027954,1118.974899425536,279.7311242336289,290.9124210593694,675.8987726106644,156.5666815983411,153.43662295589954,42.06713189889012,41.587016952149995,126.95447133034446,128.8855186357115,74.40673523826223,33.14926611255645,54.83803516042433
2217.1343492383903,1010.616807713522,3141.04590198236,817.2234591275019,1104.1570942098197,1948.26281611977,447.69560940434326,464.80933274339776,1445.0777072636713,241.78849866712636,352.4588349169129,67.23431390890163,70.73692246730326,248.52879380122684,308.2390931819613,112.4166593290426,49.859339043141404,88.38505687105504
2271.0824760613964,829.5292085826536,2170.4255794343576,523.9109180607124,777.9481859227301,1051.3623379628343,307.75224252722154,292.8124268987535,755.6070917194338,141.25243112666948,156.09027330415265,46.73751471520039,40.058486616696904,144.4879724097808,162.3591365089097,75.42306097606686,33.802648806559446,60.277442500513786
3240.1898811661945,1285.9856887109906,2955.922908348565,953.65678929585,1113.8214675077975,2062.72088939316,506.88351303786834,514.8274368107848,1474.12851281203,260.9403079620499,339.3699582937105,78.29373757357756,72.90010473366564,262.60273568844207,307.7423705766689,108.31771878043249,55.243480629362615,87.78566316643106
1825.3252106343182,1090.069861680552,2217.2116518482976,766.8913324534328,884.8035597263727,1204.6684760745768,424.032376327081,426.830000367543,1451.6029542497158,219.74216122080603,334.92172063992723,69.16538246662876,80.76996850105883,218.60937389774023,319.9604835514442,86.62243779290849,49.535200259858804,85.01646882340546
1212.5261069554656,794.3043484282064,2024.8704633644045,639.2925737381979,1057.1650202234805,1218.252641674328,415.7286600497936,435.14406223902364,1170.3714858916126,225.28172751953707,232.62144459698186,64.82987571936835,59.11103843589443,160.46555266755894,199.71151052642472,81.12831136486665,44.19665270279633,78.64204697349247
2949.278218901313,1187.430273935016,2311.8222648785363,819.9279946866646,911.8767308066949,1613.3212353798167,365.73043806090914,358.6251945600499,1435.8950622944917,186.97320576870507,352.43511854583505,65.18795506307234,79.04491767956264,262.778295546872,325.17832701259874,90.04171068333815,48.110083149742366,85.43423953489071
2056.981012999679,1057.7374048129427,2333.6165746914694,715.7131673086775,1142.9105367940665,1288.1814577927587,357.99151615360705,379.7547565942474,1179.4530272088782,194.67207359096852,246.02892404912154,56.07011495308019,65.02478228599168,166.70595597208566,202.3895160428543,81.67893670740365,39.69773704704947,80.78331099050872
3262.168292524999,1298.2032211980656,2839.4537915685664,936.0908085502787,1089.2348061497937,2048.8350435991288,500.40886689058476,498.38641358920813,1462.0336960482316,276.6514134435861,349.0087061024844,77.72346352992678,72.4035025892992,257.60918472392467,301.6823480908729,103.41339372377875,54.66936333870771,86.17028717686185
1377.3997477900964,234.4726601610841,1391.2077133820892,201.5089239417461,388.28838303311784,1048.551192447995,181.08104505444078,203.0226974572158,808.6186754376506,112.81431984506955,237.60002299089325,41.246692926208524,52.66564012396759,192.97025175554563,269.012779969744,97.02589824887494,36.143359450373204,68.67318203946802
1488.207188862805,906.9072941200706,1980.4509112392554,644.6024232654496,1061.9709119583913,1303.194928356946,341.3460141449126,337.9977653625843,1018.4086534432172,179.8011357498409,272.58548036635545,52.919615355781424,68.42037290378279,161.84761467014687,216.2394910435605,69.30826583680798,37.18157504991809,86.08821124111158
2308.776818990964,1001.1849805833926,2453.544342155957,652.1431604864288,981.2487616428033,1245.6552819537217,376.7411292172909,388.0385826674529,976.8901680262999,209.58662953688017,252.44885575335533,60.2214275808227,56.15842785661084,168.7296230577029,218.57492576999,85.67782995895354,40.538094279216324,73.19931533774613
2604.944333782312,998.9606344558285,2914.821772334711,686.188469632144,926.2070079802521,1816.7464359992898,389.64802795738194,406.50923322655626,1315.4280899003452,194.2265588150428,282.46885076195366,69.34237527268263,63.03586690968632,227.79464540665626,299.3030165058111,134.80680846382336,51.12063530674872,81.19036716503436
2638.5629637252882,1212.3217518743843,3008.733159697517,894.4645811016777,1094.5572831703212,2085.0749407951034,471.5644506403804,492.4421676365627,1445.0255529555466,248.49233292707268,354.7080011566641,73.14165613423893,72.15873886402049,249.15885864247986,296.830861553636,109.58502544562165,53.22416284938744,86.66890242816719
3006.361568911005,1320.22125154815,2737.334899622964,963.2582847239585,1106.3017409471809,1894.18784615733,484.9734088377764,492.51691830216015,1481.0398151275792,251.9754414851352,358.65609450950734,77.4701521514872,75.86201802070669,251.83674265818328,304.216493198254,96.4908206976667,54.00805361796895,86.29151043542188
1104.04329242574,787.2751552222313,2058.5286323881196,646.9067094628882,1079.4525606291584,1353.001810720776,389.92168527568873,398.39134032429234,1130.3543251188657,224.51759991456592,263.51162421286017,58.498064828706546,63.8701883036174,161.53063951187994,208.8174957383759,72.4435046068668,39.11321854505581,86.08640184785438
2803.2556334627743,1050.3607075004986,2863.1569893554324,679.4273316004396,893.949463599798,1415.4988274930233,379.31607568785665,377.46941819215346,1041.581580451423,194.43702953442516,243.55184357940013,57.42374407176226,57.94393864821156,179.99998237558458,210.47684124065495,85.69837341398903,39.13429854153933,66.48798063765118
1908.598939767335,948.9207910648627,2271.170997313779,679.0239113112224,1068.9640168776514,1248.97543933387,400.3959122983339,402.8033153190803,1143.9742592351113,199.06377757250095,298.623719731508,57.56979322748034,66.0148818160235,179.64944297716028,227.44858800465065,78.74533865650959,40.48475149567912,82.19931314553983
2326.4109744368934,1101.5943571188463,2433.967083804406,620.1791066652204,912.4744217950704,1131.5935383558292,355.06655133836426,347.5075451196241,981.139432188663,186.29376462647795,240.7710156343749,58.71549600385232,54.52699845640971,172.9435253972244,245.88633660379142,83.90168653553525,38.47156974946256,73.63830780589356
2580.1360829642754,1169.1326972681038,3414.5935036248475,886.651232182852,1191.1695466048916,1852.2403498842514,435.57990771387705,449.6323413546092,1419.970263503648,234.76705225234755,326.42072856141255,67.77801030961301,72.37459698711912,240.47634855324395,289.5225605064684,117.04994184204405,51.75870517949773,91.21082756863595
2292.9118281480382,827.5203870554448,2037.0374387411025,689.0704595089578,869.6778642387519,1683.7741016785026,370.12842204063566,375.29084019082893,1336.0270303277525,203.9231108975277,303.6453628502138,62.70899007347327,70.98737845857447,242.18925560777197,276.8910514360722,82.91166942733072,45.13443354709472,76.66345638967786
2330.4782919858644,1001.1986876436432,2441.8497249888555,643.4914022888697,978.1265236304833,1226.6335997152275,380.85404063101646,386.7311611323135,992.9565191435714,192.22649494686368,247.76241515861398,58.02813001397733,52.823143528825405,165.76726875173603,213.03128423995506,85.68048197488962,41.63957970168146,76.01280821890926
2002.9855573011819,1075.4904472730789,2352.959840851001,720.1611906972445,1135.2273251230488,1304.6391372333876,355.22515091765376,378.11700178793836,1165.7944921032813,187.40031760530255,239.21676013785805,55.841458091505025,62.69831433346631,164.67040157931143,200.389530456265,79.13360861423406,39.51319943645789,81.28986133805603
1841.5357353357037,1053.5045764715596,2545.262114695887,667.9548650401184,993.6585222125042,1256.8591035314637,356.63708971465866,376.00331173863293,832.3500526057046,199.8448523064474,219.06187319397483,51.05001362327956,50.2207070966598,160.27634985020248,238.17840050651367,82.17778210061668,40.41540163783123,73.30286372895009
1992.7220503099084,1043.7501877697584,2576.110980243739,669.6629292928972,1000.9794121018845,1246.7144605929307,384.6056144914024,398.37415453766744,1001.0112990271884,203.63257100401484,251.9772298559579,59.134216900384246,58.27543577605409,166.1005916978801,223.47145690563158,82.39461346556486,41.063862033840316,75.48330687928839
3216.263740713367,1307.1464179256488,2850.939281450058,931.6907789023135,1102.1527463680115,2003.9711121513549,498.64810605694606,502.1781251298509,1483.2616219137851,282.521234616983,363.31290276011447,76.0113796533504,77.1624112636203,256.20777907783355,304.51109862018717,102.2643380524455,54.66265322563189,85.6558809892995
1748.0416035137296,915.8434496134893,2153.8578252065704,650.7476658187179,1021.6340074089853,1237.8950933772076,391.9138911698643,396.1969904299352,1147.7564814138318,187.92055680518394,294.15525819757534,59.613721153900855,59.820063636333785,178.85744588576736,241.309145499012,75.3512601109753,40.52478835507664,82.2069894310468
3120.9965257533877,1264.6992823910791,3242.848487427345,922.735329881499,1094.8890502184572,1969.404301015605,490.33407299078226,502.40236080562954,1184.0825900900547,279.1433534657519,71.06112582869483,78.62060720899872,236.51599399788805,293.9424925345462,126.56110441568073,140.58660048080355,57.9522901428801,66.97464740823084
1482.0894708276332,882.7974697372596,2016.4522959810374,645.6959313482379,1057.3862188130884,1344.2695713292442,348.26941972900426,340.8479505580642,1010.9076337628483,196.1382022025147,269.42171483822773,52.05094440989859,68.48208860956055,162.13388831245118,216.49289894463837,69.0711455404768,37.094468963203106,87.51761801524002
1935.0073015858638,1039.7076711334494,2582.1005837750386,667.0185055480013,995.4699252929893,1266.5180203166092,382.56416289298306,391.5522290601219,1006.2799005103882,197.9968245280746,254.68286758899467,55.84388907268163,54.6083587386425,163.79216638316277,221.82594510265673,82.0899212379529,41.05553841456973,74.1823838180189
1745.8569683126163,762.7592811700933,2206.4555011565253,521.7142146754286,712.984220921229,1116.066229896033,343.9278460797778,366.9924254497152,780.8853763266496,182.8956157425786,188.16705267480828,49.185422466855854,46.56649278277806,149.46140364030973,195.50895316538615,84.4947744519972,38.539939290848785,60.13874824971394
2054.3926376704285,1053.6106494674991,2340.1124800325515,727.3255547316468,1135.015017336971,1326.964497200146,360.5040996887049,378.1148119153475,1184.4394013714314,193.7775979991718,244.19466502581963,56.056221303154814,60.93683429241089,168.5505701241865,206.88244499249254,81.00566729049979,38.65999650796484,80.65067094558071
1523.6101629608588,694.729330681955,2137.875298680073,512.2998431035716,773.8198956394255,1022.4151557072422,323.4683058273336,323.4922988390043,852.6480163725332,158.11334479217894,192.90765387982898,46.12624564784915,53.263970832958236,153.79391231793622,190.37471033323652,77.41732430197318,34.446503982049606,64.92225690117377
2121.6385930061892,990.155057472097,2372.179716302376,638.2771748956757,947.984027083489,1164.6158139846523,387.16351103017456,387.9450242472846,1015.1856355085158,195.9780885450185,253.53135999473756,56.58785971843869,57.819115199395334,168.09350979098687,246.77187595690415,85.23971342564901,40.779422892170466,72.74254971818269
2750.3264215973413,985.9905489489853,2186.4262854868857,746.9234556387983,894.086508088558,1719.364250573404,368.1979497847712,364.96305205503745,1366.010419741,172.93027240639202,331.82819694978986,63.147406165255966,68.76973357951672,244.242621006328,283.0149206063956,81.82037910916758,43.84220972273647,79.50047171100401
1647.4506634671407,920.1036852571498,1979.356154518348,680.664462821835,964.3087684613832,1382.5705736676634,406.5576867874539,411.7441560184593,1109.324710800001,2199.347960095539,290.640009282193,60.12715464747551,700.5384519763643,172.7384159169237,205.55345892031394,66.34495964016915,41.48402153003012,90.43656385066916
2349.5646760241307,1001.8813542981543,2363.7272167630267,569.1064318765951,916.5967615993592,1213.370453807437,321.2521323741481,316.8211137209171,824.7553649271615,165.6994355995951,177.61628457670443,49.4478295922644,52.98808614288922,143.2880552550119,168.72731809088907,75.52433913103216,34.899953248282515,65.55918771476301
1749.4080111795777,779.5736031660074,2205.9104974298793,541.8899972692684,729.1684398248974,1118.677862149496,344.86760149407473,366.15904118970667,762.689543425724,171.40872813205522,189.6703345396021,51.40541292155809,42.82403532974224,150.70218808982273,190.8370590769926,85.30975563187904,38.51514207090429,57.13479499803896
2670.9561019886746,978.6249129755148,2165.190996001692,750.0377051309671,884.355075213939,1736.6802339765775,375.78539949777803,364.4653854211222,1333.3716910333721,182.76283379102037,323.81293073341635,62.403863152155516,68.60141024091814,241.51496962762215,274.673826185877,82.39291942473511,43.36929369668727,77.58421680596554
2609.7705711571202,1587.3529764862958,2773.4401951615237,1003.0181105018358,1138.2792155009924,1561.8785923209025,490.59577590996884,497.4556610672869,1344.0532794807348,281.50295363603664,353.3813011986974,76.52051602840127,78.88839402908964,230.33030534403235,310.4796231167385,97.92079615092199,55.233383546765126,83.19733680127979
1851.0173142523986,860.8232457192203,2748.3088777411267,646.2475038089048,896.3291059445952,1357.7980435734414,371.1891302446852,381.11999613972546,1028.136849990264,178.3236854980204,255.13150432402654,55.61457695915161,60.535231486463275,176.7235719839383,227.54394495770975,84.80029346493926,37.89475353435109,68.1750279352093
2204.984620584196,1122.504788602916,2806.9082820570393,854.0307469737787,1036.9442384073575,2042.237492227401,453.79631541244794,466.8572003797042,1448.0152906511637,231.41781862355575,342.6694909056818,72.30118808683831,74.5831349606824,244.7236533572981,303.6781001762789,100.1865567743046,49.75123623309666,83.8640809384344
987.9384548252351,628.072577007858,2055.362170482634,481.2277376748984,824.9441427151995,1098.004033737481,338.75019699649266,350.707505926989,957.5584586461491,179.96498750628726,236.84065014811318,50.5460314126895,60.70569041167227,163.81306990857627,231.74866471229006,82.6193951023174,36.39978223797796,71.86459576949854
1716.872882880955,940.0027160908137,2100.2416615712664,685.5470654352843,1018.5978933514401,1181.9965754621064,363.2977521430791,376.46433138452124,1059.7926683073547,218.89728252958247,285.56413029852746,54.794169442314285,65.55259220793215,170.929877309145,229.45287117829326,72.40447219213422,40.62446848385811,78.85216028450864
1808.2027767118664,903.0423342371832,2146.664650205792,657.5131273319662,1008.8389247263012,1209.9940335885376,390.11064989615323,405.0918524926572,1153.8339079597943,212.07237226976315,291.78382027895503,57.48096268062716,67.57498283379002,184.35359704009693,241.97175689033654,74.84686472773339,39.88287349534351,82.57717305353827
1841.9499345609263,961.7598141903976,2326.641397837843,698.7495424518817,1074.9618969660958,1315.355362452894,389.4746784327068,402.12885057127346,1124.2327035918931,207.0602269449528,282.75956188780424,58.317948641108764,66.92861413512915,173.7690551890557,215.3586789806573,73.72530912375416,41.134171422940874,82.67694808485834
1654.4696273947095,1072.6277492880067,2466.7180984747242,804.0726832388663,957.4258722611164,1737.2457984407679,431.5066536103799,436.52989133424853,1205.8235132378925,232.66552537862734,291.60118438232814,64.40169546506236,72.51341339916907,211.1996240665085,273.9555555321993,87.3905485531962,47.2003977030309,77.55377273830551
2414.180978063191,996.293041397137,2347.032219756513,562.3933635424737,907.4190585808309,1181.2130391143921,319.04835639524845,321.02361199460603,801.6140980415388,147.6077376070296,171.63363508412542,48.96945994310236,44.83618254534293,143.80067889742202,161.37300448619868,77.00451284954981,34.46270744886826,64.56491385260922
1171.7839169456,884.0580842259809,2015.756554500735,742.0727326402059,864.133485941399,1140.2011811174284,439.05028230879185,419.56281561381184,1063.951536630067,196.24200348925962,63.258518922362036,58.81132964484066,162.53500463500342,192.35990677031452,89.18124315774513,120.84186111207694,50.59855395073485,55.286878930178624
1708.8165774747508,1023.6220861564204,2526.3289136801563,840.5706445773415,1027.068986117008,1976.2234770773066,432.7493424062502,449.212745747618,1388.066454508,235.30415520643092,321.7723918858841,64.93675047737328,71.70553667799601,228.16527197351974,275.87202817433297,90.57409018794012,47.31848501044641,79.53184136315937
3167.6773186002024,1271.8250208868121,3248.147288203637,921.7408894309808,1100.509571741016,1932.1427968170528,495.57691515006576,502.6442017008359,1188.3674004968,259.4105779287902,74.23214215791468,80.34885958742785,235.03553534880982,298.34811835844306,118.62836779605797,140.68496342617811,56.46085554936326,68.16606553115602
3320.568413025729,1238.915135885283,3241.742840410825,872.3452767920908,1109.0724334275615,1722.8575279275312,486.16390989853176,488.55468223997997,1442.1508405367754,250.4300432170462,353.9014882481932,79.16187582678816,71.93538996623973,248.7151451756953,327.51501135020516,119.03533038574663,55.665363107287206,91.3022031282303
1971.9539291281865,737.1623391955876,1885.0528980370138,408.5141149894293,717.446103408953,941.0309291714037,249.44571148792068,247.9631726856848,586.7626538132358,121.6442524330097,144.39140235909693,34.36047492891437,35.058137074277276,114.2044183002692,130.53953573258218,60.048839319720194,27.446819888472604,50.64876574413425
1594.1394646961694,906.9149712234096,1962.6825421634278,695.4114588555485,950.8821031503929,1379.4758521063386,404.71643092524675,412.46693411661533,1112.9617437994843,2208.8732226243046,291.098375115116,60.02482044622111,707.1047686338127,177.3499838656409,210.00785865659861,66.62811378691642,40.768756772885965,92.4947699535413
2317.1433146392387,798.0584663172253,2209.269656267069,507.36168093680254,771.0232520594681,1068.2040242186472,305.91998430268694,298.62265744503486,752.467454062489,163.68582421855405,155.91581990845822,44.53719790992177,49.9099278309136,143.5599018445798,161.83762859826936,74.01801539479106,33.299421320725756,63.342875612514334
2188.156226743871,880.7598056760902,2782.756631467438,766.4765642738463,972.510902052608,1846.6626585422007,426.54749729809134,430.88694678991624,1362.711495378506,225.73428694447963,292.430386838795,63.79486807542638,71.96521330041601,235.5660684139776,270.65980966339004,104.71421966237692,46.48715816274347,78.07246534966018
3238.067133637129,1285.6423091642846,2904.0755536447805,943.2260795278268,1113.5257953967428,2041.6474577302629,499.4455965665471,511.5843028337684,1469.4815121953718,250.08241874768817,336.5955171284041,76.36871397006593,71.7458839534558,258.94119419087593,305.7764574562234,109.7982526949477,55.82826436246657,89.89486219635586
2115.910301800996,1002.7286443729317,2753.3175293356626,673.3572440524119,910.926921608061,1361.898340961675,322.8320678471046,336.83867499887066,890.0634915882379,196.445011870799,223.27355391893826,48.9804709501162,54.13630565623305,164.56610191344703,222.17654014946004,85.15664955127214,38.761462060158635,67.33839857372783
2338.7054099563106,991.2109279635572,2394.284864107256,564.6243342263219,915.0856927158668,1165.7832752048853,321.8150460974235,319.0860656159364,835.7013225234195,141.93448063230775,172.9500619480359,49.50944850791652,40.51269062743082,143.30755373096926,169.4716020604899,76.28864725670455,34.964386181335996,63.96687563463248
2225.192629472962,1199.6711940334255,2731.2695831583083,901.09649144935,1076.310243598812,1910.4743404876633,472.50026320391845,484.2862519602686,1196.234279010102,259.9488971684253,308.99740444356166,74.37190396826598,69.61937452049074,244.1037506349308,304.0269484847288,98.8314668776243,53.00770691070912,75.76564675727217
1887.0170306610867,1040.8086024822694,2542.9199467525523,662.1071772737521,1000.9845975081384,1244.7000205614872,385.42541263236023,398.25027413663014,979.3891180009815,205.46550803410472,257.486691334719,58.95211304221239,59.11019845660703,164.37671319434074,220.73446311531112,82.62440264076345,41.65083804891264,74.34937134334189
