pH,EC  (dS/m),OC (%),P   (kg/ha),K (kg/ha),Ca (meq/100g),Mg (meq/100g),S (ppm),Fe (ppm),Mn (ppm),Cu (ppm),Zn (ppm),B (ppm)
7.176880545440394,0.1122019052159869,0.4316618106832391,37.58205106547639,251.58921637078674,3.9912080890290866,3.918292226288278,24.452543753604157,2.4863516907846313,5.620535972640283,0.7112201221847537,0.6480931243723652,0.8455482567529411
8.33145230595,0.1681269159144426,0.3691394570235747,9.463414251163536,394.92131185485067,,3.843869312378006,2.280233327828146,1.4365172104270911,0.8606412553826536,0.7982605465671423,0.7501730854969694,0.36540902797128844
6.028119176846346,0.12875564632741618,0.19023474456016415,44.57192444328378,259.77241699560795,12.871014572901784,4.6566266748571525,12.928304597555556,123.08306564391124,40.79150701839095,2.5484581378146074,2.1173678200771002,0.8833397673501648
7.169442412932132,0.3955574109903905,1.148365082612493,39.28922899583629,337.76932043215754,9.108112117164747,3.1124749202636823,14.036198035449605,6.209865172525282,48.977219087527175,1.4891253897653094,1.1174183652530085,0.4940155868399541
5.18425791285891,0.05707260861013023,0.8511140824151096,81.24978380025954,122.66136440514042,2.7112405967581705,2.1778778377527965,4.738394930374814,14.841157865900033,45.64274776549834,1.4250443649654807,1.2538743943305701,0.985225821362724
7.7442075030596875,0.47693483475870596,0.6453820778631594,22.93597886999263,345.99008941302185,17.84531291926383,11.198518070588243,16.55303709539464,1.6176708580301185,12.458034820251088,10.345393925580284,0.7357415958891453,0.22535757036330792
5.769570735997821,0.02166548704062927,0.3055907578030563,19.028189281961602,143.2333883085655,2.5531806542047835,1.7867128603710791,13.800435136875741,43.33664505684702,12.960149202578062,2.2214002873397067,1.05738611316294,0.9950625342570008
8.493300537619586,0.23635133966257052,0.5392820747309246,7.0752022972299935,584.9686692707387,40.32458227031588,23.95739007015235,9.750365706801709,13.136892016834452,5.428566072813232,1.5108642143635425,1.92768915735992,0.30620698961749454
8.181331569441161,0.1327117666918266,0.26959305453764515,6.736926436088818,210.36908748751753,10.371436982939297,4.062772279698674,43.59263871894954,0.6291797746462728,1.2796714114955137,1.1116180052317826,0.21478962774726557,0.6861323987849763
,,,,,,,,,,,,
4.908579533944875,0.08300872425460173,0.7544479055015781,26.90552837151412,292.3118112321825,2.4808887635129473,1.5701527472443118,16.628937061781123,38.34159979476927,24.51518549776174,1.299251081130539,0.08872409866508067,0.4567793747526777
6.7585549113102115,0.6050327480896238,0.24424835239017897,25.73538688350638,309.4240099016176,7.083369380731547,2.7413133347725154,42.210925747788636,2.498461271217998,27.314918936767977,2.128445728323219,0.6707114879494352,0.28977705278282023
8.605637860953356,0.2422149327443525,1.0227742638286468,14.177290316169906,759.109238245212,24.907673358469612,4.230524428061407,18.80748672737847,3.155812700561607,9.306985472893777,4.393454161287995,3.530305650750726,0.9309009639698144
8.965493425514316,0.25605273610382007,0.48219968878402236,11.04038796192001,383.5041620678327,37.70450391687184,9.411830590156624,31.338180854631933,6.26199855797469,5.235145030197274,1.3879720683246883,0.7105108508348899,0.8073869497874994
8.29299925352903,0.24489067684004845,0.8737079598721053,26.86414627303375,218.37892277669815,4.755900861341074,3.3177800778841524,27.71178785653833,21.034972480788603,2.664623373129583,2.3616312429805313,0.45664445142852395,0.31750954652645164
6.627768588148386,0.08759774526530774,1.040846541975895,27.443590629926593,438.8437015255237,4.977752290638458,2.1120046367143526,11.101568249747466,2.752562053652327,14.376808419436875,2.261130459615626,0.887843970058569,1.2312452476199045
4.931403913258272,0.059750627453706,0.22442425488344442,37.646462836742955,83.32822054683653,2.3203331588240657,0.6963415838136995,24.590576151639446,-0.23607980558220357,7.767109839546538,1.6248084513165801,0.45194827183151903,0.4197749244516835
8.059632789559137,0.23880984024602503,1.0270615899196687,21.43413333017518,151.98867405324742,7.123263787651529,6.160049221834447,31.17745411237595,9.883278195184158,6.865412124848538,1.5944229763679834,1.9676203623042063,0.9861740426456748
5.8244049434277985,0.07658406304165642,1.1145536635341877,38.31979217121618,221.95072056458582,7.36227464674797,2.3982884977578824,16.676304558354133,18.20849990134825,36.14858468556912,2.2747155640104753,0.740004089336551,1.181032506950144
8.562849213522172,0.23824893973118344,1.0006953235392964,14.719778768997868,760.2631830940879,23.287588189293036,3.8665176102597374,19.46499542036446,1.9015488947389942,8.694909323640365,4.297250362204196,3.5273335156693144,0.9099629446987
6.717095329321144,0.08164661073559491,1.0451938466523396,26.13195841513574,460.66393683172095,5.588525978602426,2.0604341983048933,10.40401565673221,4.423727821626932,13.546856835529239,2.2058373320529125,0.8681056833884624,1.2159215291302892
5.014391241906222,0.09151335165422608,1.3553422951198602,11.408673435878361,79.12146276637453,1.90633916021772,2.1258587799720026,12.765273465159925,89.1268419595889,59.79746051685733,2.484408542724714,0.5425140140318964,0.8048471136414813
5.316558028086209,0.04699551107153105,1.020146439669011,18.91504529138467,57.670250422872755,2.007561191656657,0.7791545485850274,14.979293472576874,41.565681939358726,34.337336844637875,1.3557003071876692,0.49995033603130795,1.219701743120463
6.3647220443372206,0.10798838201265724,0.7664279753283483,19.300024037551953,215.29921294986704,9.014307533568465,2.35942219344673,17.30698439254399,12.573840094346322,11.37501756918913,1.547088089195027,1.0534524263445963,0.8360862974249258
6.091150340226469,0.14486788881824558,0.21037469406124903,43.880602986786386,268.7759228201575,14.582123166923555,4.274854423187101,11.480908630505425,123.44860008958598,41.38572467743149,2.7643927368695453,2.1604927457119545,0.8798828753338777
4.742935219852595,0.07190256975111886,0.7775184033791358,27.49556305101419,312.1162550077114,1.6828913862529666,1.4652356573872933,16.966130486229044,40.05940638224745,24.405001659857277,1.3622788590117647,0.13647242804876072,0.4310173931086951
7.077244934211113,0.12045076292230533,0.4630378863469285,14.077973704577934,659.6754965789046,12.932324782057751,4.593106330055172,25.946519134971172,18.022051620023394,19.44078167611871,3.3334453333166585,1.3832674676529695,0.5768244543835901
8.340539359092631,0.1942237828052359,0.26628132463589554,77.11166922822693,277.64374575254647,5.501774433888582,4.487147706520376,28.483973095000426,2.6989187968770763,5.810887418938807,0.407529801802646,0.9319882736387689,0.5951189768291809
5.023714031369578,0.17103271662162722,0.7748722160575878,21.178928411513066,145.45343982380518,4.834401286380957,0.7684109828327373,18.733382944741074,62.342761597049865,17.119917786884958,0.9925389044111738,0.6550095651111122,0.759270004665121
8.69544866047714,0.2564211391764802,1.057772364516459,15.602154588641929,764.5778041502357,24.53145024721647,4.12362044498345,19.54799953954189,1.3340409748029132,8.695308751271366,4.378151460415878,3.4885804753078773,0.926007410637326
5.716782117291577,0.07863130293625643,1.1327857985915641,37.784364598955,183.9109455999112,7.6983083824144405,2.6936890172488828,15.897034546818091,20.187524714876172,36.655154064363074,2.166287763051919,0.7413752161258795,1.170346976933272
7.798981530422137,0.28601151867991575,0.5968907144843473,31.80199176402051,568.0119917804845,,15.3428564452682,8.491186156033516,6.767517834613054,4.566456561806527,1.1539194633190129,0.6599066207803105,0.2658799196162881
5.055981358574677,0.055594811054695416,0.44616171316573383,75.96066179984456,154.06600070073733,4.360636735835633,2.971691984436409,20.317257022396234,47.515967476077385,17.39875300126756,1.3043660498634027,0.470727789617972,0.583666487372467
8.398835394740555,0.18914165275220138,0.25330356996347037,77.21188031346111,290.9144909568173,5.693546714851435,4.633570129196949,27.823541824310972,4.689365807504553,4.9954977129543074,0.5665520509263383,0.8851582972035134,0.5985592301921174
8.146277302881012,0.5379281752115661,0.45447064619459787,6.074221934788903,104.61702126390675,42.09406926278458,15.485988173627925,14.735203423991237,10.27518021117972,10.999324416255057,2.0095046873126026,1.3713026853449752,0.5257397410361868
4.74775403902446,0.06843561395309006,0.7323121656037491,53.93037976059645,84.28845359760938,2.857382584561451,0.6580157761416241,7.764269249765545,16.91116278809267,19.7672906295504,0.5048302570163279,0.7167587590110649,0.09608118357643863
5.733526405880242,0.10908753813184092,1.128906459364444,37.94506790540373,220.15075063827996,8.694303307727742,2.4494200385452327,17.03015205059873,19.13243531031948,37.68844142566003,2.234549581602904,0.7895197802849652,1.1743411395636818
7.641251810683915,0.2625799312160068,1.1803614601755872,64.45632029093807,743.8860996873009,8.069288086950863,3.8044883043153392,21.386294967122527,3.862520227235317,15.809539793788598,3.147198762180784,2.8833983660182017,0.9332012447850753
6.408062435827474,0.16225870096455708,0.7452362068786966,16.861226775222185,214.5520075624042,7.96944325010321,1.846051503492716,17.95427044229445,10.509770469361358,10.95370828602387,1.536335756185241,1.0349655625831367,0.8390096214780504
8.517190856431823,0.2543570375270867,0.6168898621619768,14.23712242911027,594.2237722360935,44.49811867467412,2.768160894414302,18.124540153343585,3.4396564650016113,3.93481712917794,1.8626107593558772,0.6374269724067803,0.6892364864621898
7.104484125978403,0.14174504295981957,0.449892862936251,36.471199139844344,242.01713131372614,3.8915281890382367,3.736038244687119,24.016329600006554,6.870490798263107,6.199073195559695,0.9057552894450047,0.6513071389943822,0.8416715178361079
5.401719779810223,0.01929876768532194,1.0015935417137338,20.55363187796502,32.82846009785021,1.3034972213309348,0.4875380170236968,14.573628032432097,39.84343971354011,34.241211944040046,1.4159229925548429,0.5662198791193896,1.2082677221306348
,,,,,,,,,,,,
7.066226104164758,0.4065538380399253,1.179183083938357,37.75047669006398,331.2349211261575,9.591347971337921,3.4914468518484156,13.862756506439228,5.596971118772464,46.57328551496868,1.388821290524803,1.0763110577517205,0.5146963621924855
5.442177466462576,0.06625928589543865,0.7678976042224634,21.31272247161855,321.0211574995138,0.7077414912284634,0.6546632354117634,18.990291486722683,38.826252008558036,22.092428724642375,6.264164493004385,0.4362668921944427,0.6762938095471617
8.169036545701308,0.21615121612145852,0.8525883796615008,27.43088038452345,189.6098771073458,5.2582180678137425,2.944982725790401,27.939055451169377,20.895386592462494,2.1959435703405275,2.428509710269211,0.542415564232205,0.31031261693381434
8.631597814980635,0.24304415388715503,1.0287135491509223,14.086290248609334,775.1281624940766,24.87947864768181,4.242566044508847,19.415059373245356,3.8118401094326924,9.404592578733677,4.2115212836718685,3.622988039717054,0.9404236444423104
,,,,,,,,,,,,
7.138190678620055,0.4699341833588023,0.7683425448303409,48.53354646793235,467.87759744560515,21.77249555644117,6.831722538685977,11.85937837395949,4.77942627804957,19.28898140301215,1.8473947530065484,0.4935894956459832,0.39692224228436784
9.263145915433437,0.2951957181283816,0.5220263306672431,14.23225483512256,147.01829453762423,5.669350846319366,5.3548930633134315,20.113855184378107,4.385035065405265,4.855625471067171,0.09021976710838805,1.4136744848690392,1.365568211258648
4.945567621477902,0.0830089907771413,0.25546442813431125,38.15797484667923,83.85091677620265,2.4553905359190247,0.9244786986789877,25.20913670719148,0.6876516055138004,8.0174295186424,1.3780913133968506,0.5994224316901526,0.40043940318945975
6.530601360354048,0.24718032307310828,1.258803570413792,1.5031308080032506,214.65249800332376,25.558839433986098,2.80653627016851,12.539834362288998,41.33988073432938,22.545119990618733,7.568062236368405,0.36301586463423696,0.824033923604286
4.931771970568662,0.0818027872840063,0.45435585112382487,10.840525998099782,56.63373450010838,2.041287878691911,1.1499290806028568,1.313560921143853,25.121635746066463,16.47705636720526,1.1888155561491278,0.6961701019548434,0.8063212293682128
7.002996662208476,0.19859951785151334,0.8777959065071119,63.446788452169365,307.0452415533207,11.217124349225244,3.7689569105719785,13.39434959579075,38.57812429606563,24.877834483975413,2.8760976412308796,1.1520310285871214,0.7161139685255558
7.713513185005042,0.03633183442511743,1.077531371137882,27.559326143389995,228.32779908357682,5.258276374435854,2.659038321498409,9.490188364129242,-0.9933121681898914,5.07575190688382,1.157848498637986,0.4342957961717224,0.5812816340670827
6.058766132881426,0.28831434592543115,1.0331056891037131,21.905714345109207,415.98165892919013,10.441417036689893,2.141761222589798,12.31799769357145,55.74043654576798,53.43970844680652,0.32519020136480137,0.9438344451432855,0.45036615882790176
6.029953911048585,0.24859016414203808,1.0288704044599233,21.959808255918198,435.6555278680201,10.969088096030877,1.831191124281207,11.772058967653926,54.65386752511433,53.10653228790685,0.36683122231239995,0.9285450982990692,0.43683317182427805
5.717358873345044,0.10359210594689555,0.655346475360198,23.24460429461937,187.00062435424266,5.86677279737939,1.4817712112587313,7.674415189581538,43.0385754756813,49.07208684082397,2.463757015916875,2.705157260619431,0.9296202616909478
9.023545897317218,0.15646483218437393,0.3798951054095735,2.781531342759488,382.8471105521523,39.594321888836745,6.904889095412843,11.709463318663238,7.866827987772444,2.25940145535433,1.7043468708369778,0.43515969332793275,0.7113190865147545
8.357065080021883,0.154997421539624,0.34819770966371033,7.791093366437648,392.54829767753614,,4.064047032459534,2.622163788830351,1.9527598941500246,1.772015123603771,0.9299543676975104,0.7846768098992605,0.38223726553557724
8.223336189760623,0.4761235836668326,0.6212326271562295,8.237852697268059,504.44232116202147,42.71339059919956,9.120728025676119,10.450715696244977,11.943616758312277,20.599403390336334,2.785022935927159,0.9617806401701844,0.14599351315081854
7.677006920949871,0.5004453073326585,0.8865154392739272,59.83836788505631,383.11057436419594,8.835224597295376,2.8122805255984797,4.632495089243035,5.9118798233520025,16.101673822824946,1.0914065925337024,2.5102463473798706,0.3787567917090499
9.072002843890902,0.15919555945169142,0.4203330841654011,33.73033027108358,119.82178606448224,13.776933566928086,8.521036806189922,18.457481800791214,13.036538953032531,3.4653738904012195,2.138996500973418,0.6825882435757187,0.7787216360344998
5.277294396155485,0.053395266874227465,1.575917912582002,24.643990456025602,103.06469499257328,2.1944683065356347,0.7720461326113024,11.964465606802253,2.8024759016159577,9.129254338257963,3.7982334528227635,1.5416797790193806,0.6355430909132547
9.022112242440464,0.26338516148365715,0.46958101483951814,10.204468740107014,377.16275658332006,36.42690205078138,9.455418337315745,30.094250730856935,3.0002064438684433,5.514392661517968,1.3479078233577224,0.8579705880749995,0.8317785500232209
8.179469073488079,0.6124900486608875,0.8588161342292902,8.542456019949938,349.71103664638304,15.498773066904768,8.667021754329747,4.557753154572444,0.04671015196438322,7.6101513627965796,1.8609213128885993,1.811884296235021,0.062443728436671335
7.0510542382725925,0.1793442783193911,0.4152605481795183,39.79356508451214,130.46090462351367,3.6263606120667995,2.3672634733771383,20.05681467264203,13.538883970899402,11.397643237547687,0.4328951281092489,1.8358380782008605,0.4785563719613158
7.149967647330909,0.1320011158588851,0.41971300321822047,36.42710560811771,246.71814869404605,3.87696298260828,3.5449159406898723,24.135044290551278,5.91362497859149,4.983219902726713,0.7390539739653588,0.6644021184910063,0.8257714593285799
8.058729280702957,0.6091857160885038,0.8960878759848881,9.509699461758544,336.80434706734064,15.045608237559605,8.273621216502333,4.613711020825533,0.70798424287668,6.682070104323652,1.9612933409378337,1.7330050388420872,0.059845849033735396
8.941790435478076,0.100558252481093,0.9840324173145484,67.38169251477885,153.5339475211189,24.4008463204444,5.382139178538114,6.942202981020408,0.7126143724810723,4.386886072496453,0.8712940598659711,0.31694047391837515,0.7437426375233165
5.134976070910937,0.05133416564932117,1.3347984470032144,10.622994371506762,70.675748359735,1.1433074308722255,2.2380321937814687,13.207990799742344,90.74296960103273,59.42306473516748,2.5758603135895255,0.4153518901588985,0.7798502851630981
6.3236825177610125,0.12489305249220801,0.9079989545118575,7.764070671665546,189.09292804895784,13.850683681511413,7.231176103467882,17.735966615771606,32.67482885504925,27.814658310202304,8.520502288711032,0.6704371038146583,1.0560286966550796
8.962726308205818,0.1710490596705051,0.4392202651960113,34.17904117808861,105.7521897310186,14.081027084602946,8.182424068938523,17.12377472658786,15.22940793682325,1.6145321287668104,2.1475397868011314,0.5850104051291701,0.7758538182612083
7.997146950049432,0.120574426080878,0.21489417613187708,4.818806465141366,251.95904126340244,12.088866857451409,4.1759900402585375,83.40860554602432,1.1520902983449215,-1.4232441743414255,0.6374945648684616,0.06895214665783325,0.7401843108922679
5.8115674624809595,0.08024183695179751,0.7852468624373804,79.92588568861468,135.55509320301013,4.8186802689803665,2.010937297600992,19.700802800928642,17.389705671610294,56.11293608150887,2.190418861648093,0.7754880639297628,0.5573386021233699
7.974425191411955,2.208759126908102,0.22593465508184365,45.92677571448026,285.27270745905247,14.517475039241493,5.15000467184958,26.928869748059686,25.712570946297504,5.733157943799274,0.7642095976047742,1.936994513916908,0.8211264210686505
8.245620316612277,0.20071354237892125,0.8295959703681542,25.81650788400572,226.88080345332028,4.243423114455476,2.8173625333543204,27.494918186766647,20.663031969638396,3.249036311682989,2.420973807892902,0.5448466436069096,0.3124231129954683
8.26418933440102,0.5877776633823051,0.8793253401657062,8.808400270615675,351.1816446835134,13.846832668553603,8.329407959766682,4.827979178331754,0.5374134234371272,9.085708900078998,2.0587535234259056,1.7315435868421338,0.05218602943718799
6.085881932303478,0.1696640585521514,0.32599161594258547,82.74588020678503,374.59318709526815,6.016853756404191,0.935291233237981,12.33978010866937,46.104567000418555,37.358194002815424,3.300868553781749,6.8238288930892566,1.1445165531429065
5.121088919104239,0.05900577501285924,0.29412487697756917,5.237731625219571,102.60301558066608,1.1642549729762357,0.3594226650990603,7.737626763937675,13.70762822330334,14.47441577836801,7.054237899859652,0.671936151597974,0.5088926153742158
8.506559439606585,0.24962451833548105,1.0324185404627007,15.351153585636629,757.003890099768,24.079847860916963,4.38300139407223,19.27097747809339,0.42953304691219474,8.735892639829858,4.446528991907213,3.5039965271315228,0.932077673576701
8.441214796131796,0.20197337305329624,0.2608157144126895,75.95408806123586,285.9129962330216,5.4771316444626,4.741254996558996,28.330069571674574,4.428336026003586,5.571241733097479,0.6592788575934845,0.9029236144987004,0.5930162921237399
9.092984156500641,0.15736273952246968,0.36086982078157664,4.412319304192699,386.7995812329994,41.15350494256202,7.261244649803478,11.410301973094505,10.031434719659575,3.311513939474552,1.728717184897606,0.45100923631562095,0.7322164904664357
7.874828238914391,0.5326249053119035,0.48104781681156245,6.910588534776641,124.17571375433609,40.620757698614874,15.447206001864252,13.822997154773068,14.282471404671867,9.485408114941718,1.8592961032019888,1.1221579908505332,0.5357112775255918
7.641380909159692,0.46745983047419426,0.8620425258675122,57.57212279784511,400.273385358257,8.266181000345565,3.1660411917909554,5.082466155643735,3.2249705710294516,14.832073276435844,1.3488713816865179,2.4408312712442455,0.38503366504426806
,,,,,,,,,,,,
6.621819524296583,0.08337426850576117,1.2958813121379145,3.380673773862713,319.1545954464355,19.462475389228146,2.906018964394608,8.012296860221499,32.969668150788195,23.27816229654614,6.187400587184685,0.40022528647066424,0.6662037785376704
5.3886913745172444,0.052537207024662316,0.7922204856193149,20.612941210966312,318.89007716995746,1.4277224935705837,1.1504558001033054,18.92714431952449,42.28929473282491,23.816268524067763,6.282962201345626,0.5434469122656804,0.6711355863920307
6.156282347984719,0.14956180579197387,0.19374203099821546,41.427066474064524,267.62123360800047,13.118484994878417,4.755944053217026,14.058813897524407,126.95457151467129,42.13776944771667,2.457241368168628,2.113269684383705,0.8943136780619461
6.047870073963997,0.08522792697798624,0.7828405545628523,4.707960978643269,199.79565774916028,6.053133812131619,1.5633238900113533,2.314110964631454,81.78792832694818,20.526181359299898,4.278065618613231,1.8212302033428522,0.5418868231545849
8.092410793860212,0.24208041074125597,0.8395651277082412,26.512797005107323,224.42936409759088,5.369499572848142,3.0285522351282297,27.75050442523481,19.050841567578665,5.39441337767834,2.5731267918410063,0.49359118715386513,0.3116235413317722
7.002919792266938,0.08970144547194607,0.8213142789206013,10.056265950279384,60.645767472528775,29.659042241766706,6.6252692876514025,13.014126561123742,47.746891154675396,23.602178854195518,9.94599114161591,1.5456564621223492,0.606050418710431
7.706490696384599,0.48642692939083754,0.634823726587475,22.394766990374958,343.62363348798345,20.36741124782503,10.850527076123974,15.485190641048646,-1.3119208975947183,12.461894751804069,10.32145327114968,0.6501566797754696,0.22806848676496055
8.243676913574722,0.2219585807579478,0.8456788944291811,26.870573188760396,229.81870374919657,4.78341268610271,2.98169819412979,28.433777084663816,19.373662718850312,3.5273417940144403,2.3659551653822204,0.46370415972333917,0.2924371553018946
5.184922559570445,0.09082098022781701,1.3297115780927258,10.23064355996018,69.025892113136,1.7123453966286037,2.5282319734855627,13.226714825951102,90.52742888845209,60.057109770439574,2.4303816536999716,0.36656362740756315,0.7968415078787452
5.25026409666223,0.051111289333464455,1.3261561382131395,8.533033289243143,64.37616523230167,3.2397351510652355,2.7516156111952257,11.801402634554535,90.63755896568215,58.81529414278015,2.5997679419606428,0.44499005568446903,0.8262445481326063
9.212792524447758,0.2732579768393314,0.5104796517127473,15.945523633185164,144.9383030123656,4.907410736102005,5.0937148412767,20.147766367746605,5.223215949682629,4.743282366660732,0.0692172474029163,1.4114729854772088,1.3354298248302616
5.181968630931671,0.07512109801627279,1.5669059703898456,25.022240671209147,110.01312959869789,2.2154180916621966,0.8943421409827882,13.558032507650102,0.7715945462098216,9.362540499979106,3.9044341138452863,1.5021147134426434,0.6373937355447723
9.365142013985658,0.7509519181219948,0.5729803395446684,5.9331720517232664,207.8063306458497,11.774250061544704,2.080987823218019,17.012499463825023,57.54351045501704,17.798871148537096,0.9317770071584773,1.3856188844825497,0.7500438213858895
8.544888249987368,0.1884772054569097,0.4476523255352381,6.948126971498728,773.0635597416853,53.4765389474661,5.064629779654449,14.454360506009197,7.3754045877820165,0.524500861605242,2.55317871163701,1.7955578191723993,0.7945713238569126
6.506488046221173,0.25988555875984587,0.44232506614540595,57.1231214740807,212.40456317691857,2.3351754724572804,3.0154056866058006,23.14757896191752,12.15086222185569,10.52568257201551,1.0582602880594683,1.4949332388042258,0.9243264861484909
8.49750788101333,0.2515566717413316,0.6471312200491262,14.264793189448712,594.4462050704018,42.83005362655874,3.003195133748075,18.338897083694707,3.9394014953566825,3.650424575143201,1.757672104008842,0.6682017154553355,0.6660423518942902
6.034333318097865,0.1331619447218736,0.21324998861850541,43.582916278250956,291.426079382604,13.009671111341639,4.707021106046698,13.971527514011559,125.38791442286544,40.316265953911845,2.637521675424228,2.1218930804273324,0.8738637544418401
7.021020473885529,0.17140683000508763,0.39567883600965603,39.979584862526785,137.5575208452333,3.3224118430773864,1.8454902164669558,20.22058750248385,12.657729526006158,10.230983374355644,0.6486906685488136,1.8832007121317444,0.485439336848335
8.12710969996884,0.16870990400454902,0.5031660897784151,35.07037494260489,476.73097453154094,7.211498497060864,4.479499816645089,25.604002066917065,3.21067308668909,2.529589465758614,1.2432830125368888,1.227760618199599,0.5829716908068807
4.912870533187098,0.09040793368228114,0.18862039958639037,10.18868401697075,170.9582517329377,4.782475214084012,2.785658383959094,6.673543746365443,28.83526225366811,4.943425021670963,4.123939617789648,1.9998773470862174,1.1910887423220176
4.97095556749377,0.044390011783971124,1.1527749364341873,17.152124740667965,205.36073867481386,3.168982374313468,0.9044930479619702,7.412447634680485,57.92344893569823,76.30430387945529,1.6440679189136984,0.6402842287573107,0.5134675893564327
,,,,,,,,,,,,
8.105554164280786,0.5415421393585234,0.5048889761333709,5.249025090512706,103.43525646872827,41.04271081650607,15.192983338211274,14.142749205795942,10.239840699556874,9.56349645950773,2.0621711650548127,1.3180207464749858,0.5153053422389471
8.371815481262319,0.16958926654248638,0.4021082410421835,6.181390240210045,749.2593757318468,63.41695891748698,7.180126785829708,12.275901642491421,16.941471386032543,15.77648729808768,2.4688467865284065,1.4254565615879544,0.45445211785817574
6.814985347397187,0.5773382231489703,0.19813302118266873,27.536329991833313,324.0132441242503,7.087984458905738,2.7742087249810496,42.757918393418066,2.697866627619903,28.412252721462526,1.9989939549434401,0.7741341288310851,0.32490768067455356
7.185986156487369,0.4451595322058686,0.7892532918766407,49.22762855828165,474.84628681331674,21.512756528787616,7.2519473878777685,11.557067134220311,5.109675748015644,21.028508494177824,1.8035190420563836,0.36107933644888945,0.43193685853281516
4.863658903786799,0.18133862358007682,0.7705690534345857,19.991642077175968,133.05179160430828,3.0574977993626122,1.2007674444065657,18.86261056124689,60.171613609678914,16.8251330270077,1.087942233316427,0.5836266738776945,0.7731821114858972
6.16673738187554,0.080897875634386,0.7516535356932411,52.75143763520547,262.19997527486566,2.8828892443117047,2.2420526978470217,9.900073166699174,2.0857158793533292,24.687071319743797,1.8737858963458136,0.45311445296253594,0.49908108172215876
5.298609219412743,0.06119099176879602,0.8343893319162297,19.130514800127482,321.30837011393226,2.577246446421453,0.926346662078337,19.2471775713356,41.81273126974135,22.801080702171014,6.315026795293698,0.5346818474238171,0.6761430681959562
,,,,,,,,,,,,
8.064185806038346,0.23348205429934762,1.0415028827074875,22.680023016257127,161.04184906302896,5.518259614444767,6.217141654107086,29.99313001483004,7.2139161124557765,7.876256549596533,1.5699370712341356,2.0211515844234698,0.9678587296646196
6.7323102875970555,0.09820657792403913,1.0564131351663828,25.46265636250286,459.3978364022033,5.658877898283155,2.2223460327819895,10.712138686975086,4.15458632242469,14.049807797814582,2.2255418832337086,0.8497532776895533,1.2551180192403137
7.939807647628815,0.5064229129977468,0.39858028346467,62.94766844406122,404.1343093542966,7.489438817639103,5.323565309637683,22.952647886287387,17.98089132324135,25.779801611512575,0.6139659592110227,1.0376596200977275,1.0531168905220794
8.125725002679475,0.2760410110994562,1.0650898584710167,22.822379493661753,147.399287241084,7.002993138171743,5.561426588780443,30.18076374450322,7.158843577569193,7.10565738725565,1.5041150461942188,1.9822752744540932,0.9903252769955252
7.031835202800924,0.5269148441763966,0.7968001356950213,48.754127596414115,491.21520467787775,21.5286840428666,6.839196412293788,11.994317318001125,4.593964313833554,20.409757559395207,1.848546401834206,0.49584324171118965,0.40014795949135873
5.162402902745878,0.06393834937073993,0.683726010373307,9.42095141163941,153.0222263181647,3.2234183480622334,2.276230182210002,5.629514765243816,43.0416657358357,45.054043965531825,5.418965189572264,2.932675841676335,0.9701086325963512
9.415921231564132,0.4478536167345567,0.18587094626223555,10.14504982830304,717.7836866632288,33.974891894711654,14.169676252797467,10.69466216993326,5.301171600371839,15.901585894958226,2.1083777235800096,1.501338649008237,0.6604139962756825
6.294586163677321,0.046431386213911824,0.19328634446786874,57.50354888249462,167.8554527743814,3.889804650733032,1.6433166746265837,12.423244974194555,25.093449399792483,19.000542196771427,1.2964639101950681,1.0022934430505523,0.7170447571661467
8.127948786696516,2.225596325813862,0.2697617972478617,46.52754017471079,292.00169295584635,15.146017331773775,5.1737327027724485,26.908871629196703,27.070502774077404,3.4714362029723342,0.9646031395137222,2.0124411887936318,0.7966073452531577
6.462883659885916,0.013772877178626637,0.506464655355187,34.12932674631648,224.62559472371112,3.3925732228446215,2.199205988438922,11.760856669626635,7.387602008003609,11.233218940926978,1.6768495797894607,0.9544126412323728,0.2603934327938241
6.812069359209277,0.08951605026249873,0.8253949608108222,12.283310983743466,93.9517297927226,26.823732436866475,6.520744166823047,12.19548276350928,44.896030685227,23.774374970038874,9.924427746334462,1.5984974372479943,0.6008713940710607
8.123548179120196,0.5154556613838894,0.4738709808974985,7.067042112809421,117.67936008970273,40.98631180724814,15.714147709988422,14.804644820532436,11.551372761795774,10.581362788837135,2.0164669308160446,1.2680918559795107,0.5340234884186781
4.81101312005678,0.06957974600101813,0.4659294307856118,10.494638786609011,82.7262981153927,0.5983920359965718,1.2946516111484887,2.1190080640961573,25.934394125494656,17.635824037500882,1.3753284671722912,0.6934180410960482,0.8456622090285512
8.629978128266249,0.23296824876082484,1.0241079788065959,14.944268128443206,743.2146169143414,23.074183391639718,3.7779868473770533,19.501082658836147,-1.1342233206304566,8.719457611771137,4.584586218598542,3.630968285910182,0.9398189799621809
6.088067192429453,0.18690300780324964,0.32345665738255125,82.10162703234036,352.6161645451542,5.93127453081552,0.7008607943112868,13.300691010970702,51.1300648214972,38.1718500351944,3.256940560222665,6.854186229321868,1.1346609454113363
6.70893848575883,0.29768704741101537,1.0879865231872123,14.678740777182876,290.54876483068597,4.173851283347383,3.1526395586134623,6.692622095514661,18.405755573846015,20.934640414411987,2.5112115262619685,1.5886102786456193,0.35690235178815066
